  V_VI                 , V(C1:1)              
  2.670000000000e+000  ,2.047179602836e-002  
  2.680000000000e+000  ,1.917311661241e-002  
  2.690000000000e+000  ,1.792221238147e-002  
  2.700000000000e+000  ,1.671848237652e-002  
  2.710000000000e+000  ,1.556133813287e-002  
  2.720000000000e+000  ,1.445020331947e-002  
  2.730000000000e+000  ,1.338451339155e-002  
  2.740000000000e+000  ,1.236371525588e-002  
  2.750000000000e+000  ,1.138726694818e-002  
  2.760000000000e+000  ,1.045463732212e-002  
  2.770000000000e+000  ,9.565305749437e-003  
  2.780000000000e+000  ,8.718761830567e-003  
  2.790000000000e+000  ,7.914505115540e-003  
  2.800000000000e+000  ,7.152044834523e-003  
  2.810000000000e+000  ,6.430899637693e-003  
  2.820000000000e+000  ,5.750597344033e-003  
  2.830000000000e+000  ,5.110674698666e-003  
  2.840000000000e+000  ,4.510677138394e-003  
  2.850000000000e+000  ,3.950158565092e-003  
  2.860000000000e+000  ,3.428681126640e-003  
  2.870000000000e+000  ,2.945815005094e-003  
  2.880000000000e+000  ,2.501138211798e-003  
  2.890000000000e+000  ,2.094236389175e-003  
  2.900000000000e+000  ,1.724702618910e-003  
  2.910000000000e+000  ,1.392137236299e-003  
  2.920000000000e+000  ,1.096147650505e-003  
  2.930000000000e+000  ,8.363481705079e-004  
  2.940000000000e+000  ,6.123598365139e-004  
  2.950000000000e+000  ,4.238102566307e-004  
  2.960000000000e+000  ,2.703334485998e-004  
  2.970000000000e+000  ,1.515696863997e-004  
  2.980000000000e+000  ,6.716535153669e-005  
  2.990000000000e+000  ,1.677278885017e-005  
  3.000000000000e+000  ,5.016666509062e-008  
